Record ID#,English Name,Official Name,Operator (primary),Operator (additional),Type,Seasonality,Status,Year Established,Antarctic Region,Latitude (DD),Longitude (DD),Latitude (DDM),Longitude (DDM),Elevation (meters),Elevation Datum,Peak Population,Power Supply Types,Photo URL,Webcam URL,Date Modified
73,Great Wall,Great Wall Station,China,China,Station,Year-Round,Open,1985,Antarctic Peninsula,-62.217519,-58.961992,62° 13.0511' S,58° 57.7195' W,10,MSL,60,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r73/e56/v0/Great%20Wall_overview%20of%20the%20Station_Cao%20Jianjun_2014-09-25.jpg,,7/31/2020 19:43
74,Kunlun ,Kunlun Station ,China,China,Station,Seasonal,Open,2009,East Antarctica,-80.41718972,77.1159973,80° 25.0314' S,77° 6.9598' E,"4,087",MSL,26,Fossil Fuel;Renewable,https://comnap.quickbase.com/up/bibrbwkpg/a/r74/e56/v0/Kunlun_overview%20of%20the%20Station_Wei%20Fuhai_2015-01-22.JPG,,3/26/2018 14:53
245,QinLing ,QinLing ,China,China,Station,Year-Round,Open,2024,,-74.934071,163.713006,74° 56.0443' S,163° 42.7804' E,,,120,,https://comnap.quickbase.com/up/bibrbwkpg/a/r245/e56/v0/Qinling%20station%203.jpg,,5/9/2024 20:02
96,Taishan,Taishan,China,China,Camp,Seasonal,Open,2014,East Antarctica,-73.85,76.966667,73° 51' S,76° 58' E,"2,621",MSL,20,Fossil Fuel;Renewable,https://comnap.quickbase.com/up/bibrbwkpg/a/r96/e56/v0/Taishan_close%20look_Wei%20Fuhai_2014-12-21.JPG,,10/4/2017 13:30
75,Zhongshan,Zhongshan Station,China,China,Station,Year-Round,Open,1989,East Antarctica,-69.373206,76.371871,69° 22.3924' S,76° 22.3123' E,11,MSL,60,Fossil Fuel;Renewable,https://comnap.quickbase.com/up/bibrbwkpg/a/r75/e56/v0/Zhongshan_overview%20of%20the%20Station%2001_Wei%20Fuhai_2014-02-26.JPG,,7/31/2020 19:42
244,Zhongshan Skiway,Zhongshan Skiway,China,China,Airfield Camp,Seasonal,Open,2022,,-69.623611,76.492222,69° 37.4167' W,76° 29.5333' E,760,,20,,,,9/13/2023 18:10
36,Johann Gregor Mendel Czech Antarctic Station,Ceska vedecka stanice Johanna Gregora Mendela,Czech Republic,,Station,Seasonal,Open,2006,,-63.800625,-57.882592,63° 48.0375' S,57° 52.9555' W,10,MSL,20,Fossil Fuel;Renewable,https://comnap.quickbase.com/up/bibrbwkpg/a/r36/e56/v0/Panorama04_Kamil_Laska.jpg,,8/2/2022 4:21
38,Pedro Vicente Maldonado,Pedro Vicente Maldonado Station,Ecuador,,Station,Seasonal,Open,1990,Antarctic Peninsula,-62.44932928,-59.74096859,62° 26.9598' S,59° 44.4581' W,10,MSL,34,Fossil Fuel;Renewable,https://comnap.quickbase.com/up/bibrbwkpg/a/r38/e56/v0/Pedro%20Vicente%20Maldonado.jpg,,10/7/2021 10:05
37,Republica del Ecuador,Refugio República del Ecuador,Ecuador,,Refuge,Seasonal,Open,1990,Antarctic Peninsula,-62.12099018,-58.3951612,62° 7.2594' S,58° 23.7097' W,10,MSL,4,,https://comnap.quickbase.com/up/bibrbwkpg/a/r37/e56/v0/FOTO-REFUGIO-17-DIC-2013.jpg,,3/15/2021 11:18
39,Aboa,Aboa Station ,Finland,,Station,Seasonal,Temporarily Closed,1988,Dronning Maud Land,-73.04228194,-13.40735764,73° 2.5369' S,13° 24.4415' W,400,MSL,15,Fossil Fuel;Renewable,https://comnap.quickbase.com/up/bibrbwkpg/a/r39/e56/v0/Aboa_asema_ilmakuva_01.jpg,,4/22/2024 23:34
117,D85 Skiway camp,D85 Skiway camp,France,,Airfield Camp,Seasonal,Open,,East Antarctica,-70.425,134.145833,70° 25.5' S,134° 8.75' E,"2,850",WGS84,0,,,,11/27/2016 14:11
